Step,"Instruction"
1,"Press tofu to remove excess water and cut into thin strips."
2,"Cook rice noodles according to package directions and rinse with cold water."
3,"Shred carrots, cucumber, and cabbage."
4,"Combine soy sauce, rice vinegar, sesame oil, and sugar in a small bowl."
5,"Prepare a large plate or tray with warm water."
6,"Dip a rice paper wrapper into the warm water for a few seconds until softened."
7,"Place the softened rice paper on a flat surface."
8,"Arrange tofu, noodles, carrots, cucumber, cabbage, mung bean sprouts, cilantro, and mint on the rice paper."
9,"Fold the bottom of the rice paper over the fillings, then fold in the sides, and continue rolling to form a spring roll."
10,"Serve with the dipping sauce."
