step,instruction
1,"Preheat oven to 475 degrees Fahrenheit (245 degrees Celsius)."
2,"Prepare the pizza dough according to package instructions."
3,"Wash and slice tomatoes into thin slices."
4,"Shred mozzarella cheese."
5,"Wash and tear basil leaves into smaller pieces."
6,"Mince garlic."
7,"Roll out pizza dough to desired thickness on a lightly floured surface."
8,"Transfer dough to a pizza stone or baking sheet."
9,"Spread a thin layer of olive oil over the pizza dough."
10,"Arrange tomato slices evenly over the pizza dough."
11,"Top with shredded mozzarella cheese."
12,"Sprinkle with minced garlic, salt, and black pepper."
13,"Bake in preheated oven for 12-15 minutes, or until crust is golden brown and cheese is melted and bubbly."
14,"Remove from oven and garnish with fresh basil leaves."
15,"Drizzle with extra virgin olive oil and serve immediately."
