Step,Instruction
1,"Slice the ciabatta bread horizontally to create two thick slices."
2,"Slice the fresh mozzarella cheese into thick slices."
3,"Slice the ripe tomato into thick slices."
4,"Brush one side of each ciabatta slice with olive oil."
5,"Place a layer of fresh mozzarella on one bread slice."
6,"Top with tomato slices and fresh basil leaves."
7,"Season with salt and black pepper to taste."
8,"Place the other bread slice on top, olive oil side up."
9,"Heat a panini press or skillet over medium heat."
10,"Place the panini on the heated surface and cook until golden brown and the cheese is melted, about 3-4 minutes per side."
